hour,month,hour_of_day,Anna,Bardeen,Cary
0,1,0,135.77661774872516,149.7588010068718,163.8116466925248
1,1,1,135.77394202670382,149.75579081959782,163.80830203999813
2,1,2,135.77127510148296,149.75279052872435,163.80496838347204
3,1,3,135.7686169744346,149.74980013579494,163.80164572466157
4,1,4,135.76596764692624,149.74681964234804,163.7983340652761
5,1,5,135.7633271203208,149.74384904991695,163.79503340701936
6,1,6,135.76069539597682,149.74088836002997,163.79174375158937
7,1,7,145.01392917348346,159.7925274054582,174.65025483369257
8,1,8,167.35692982998114,184.06351365992137,200.86966727407497
9,1,9,189.69993929278837,208.3345098214828,227.0890907223444
10,1,10,198.95319948921923,218.3861785882008,237.9476348281028
11,1,11,198.95061179640044,218.38326743377965,237.94440021207936
12,1,12,198.94803291389863,218.3803661909651,237.9411766089521
13,1,13,198.9454628430405,218.37747486124977,237.93796402037947
14,1,14,198.9429015851483,218.374593446121,237.93476244801417
15,1,15,198.94034914153963,218.37172194706125,237.93157189350336
16,1,16,198.9378055135276,218.36886036554773,237.92839235848837
17,1,17,198.93527070242092,218.36600870305273,237.925223844605
18,1,18,198.9327447095236,218.3631669610432,237.9220663534833
19,1,19,179.26708973227034,197.00036902883716,214.84413866659563
20,1,20,159.60144357582092,175.6375810200355,191.76622200571288
21,1,21,159.59894404533054,175.63476904823386,191.76309759259993
22,1,22,159.5964533382204,175.6319670027349,191.7599842087122
23,1,23,147.6556377891396,162.66062403117857,177.7471932577021
24,1,0,135.71483106599726,149.68929098880295,163.73441333911492
25,1,1,135.71236683669775,149.686518730841,163.73133305249053
26,1,2,135.70991143587668,149.6837564049173,163.7282638014642
27,1,3,135.70746486479723,149.68100401245292,163.72520558761488
28,1,4,135.7050271247181,149.67826155486387,163.72215841251597
29,1,5,135.70259821689336,149.67552903356108,163.71912227773504
30,1,6,135.70017814257267,149.67280644995026,163.71609718483415
31,1,7,144.95362360123627,159.72468363668014,174.57487286838358
32,1,8,167.2968359699157,183.99590806734773,200.79454994899316
33,1,9,189.64005717582057,208.26714243989403,227.01423807613463
34,1,10,198.89352914615603,218.31904945225463,237.87304689927385
35,1,11,198.89115325793983,218.31637657801147,237.8700770390036
