hour,month,hour_of_day,Anna,Bardeen,Cary
0,1,0,135.3203760076283,154.15103150532448,171.95471765710298
1,1,1,135.31770028560695,154.1480213180505,171.9513730045763
2,1,2,135.3150333603861,154.145021027177,171.94803934805023
3,1,3,135.31237523333775,154.1420306342476,171.94471668923978
4,1,4,135.3097259058294,154.1390501408007,171.9414050298543
5,1,5,135.30708537922396,154.1360795483696,171.93810437159755
6,1,6,135.30445365487998,154.13311885848265,171.93481471616758
7,1,7,144.5030205683429,164.71103475646368,183.76902817975144
8,1,8,166.71404374025377,190.25256572592284,212.34399454234423
9,1,9,188.9250757184742,215.79410660248024,240.91897191282408
10,1,10,198.12366905086137,226.37205222175103,252.7532184000632
11,1,11,198.12108135804257,226.3691410673299,252.74998378403973
12,1,12,198.11850247554077,226.3662398245154,252.74676018091247
13,1,13,198.11593240468264,226.3633484948,252.74354759233984
14,1,14,198.11337114679043,226.36046707967128,252.74034601997457
15,1,15,198.11081870318176,226.35759558061153,252.73715546546373
16,1,16,198.1082750751698,226.354733999098,252.7339759304487
17,1,17,198.10574026406303,226.351882336603,252.73080741656537
18,1,18,198.1032142711657,226.34904059459348,252.72764992544367
19,1,19,178.55369355528254,203.8682203536904,227.5769405384816
20,1,20,159.00418166020324,181.38741003619177,202.42624217752433
21,1,21,159.0016821297129,181.38459806439008,202.4231177644114
22,1,22,158.9991914226027,181.38179601889112,202.4200043805237
23,1,23,147.12888596078236,167.73165378848302,187.14873882589688
24,1,0,135.2585893249004,154.0815214872556,171.8774843036931
25,1,1,135.2561250956009,154.07874922929363,171.87440401706874
26,1,2,135.25366969477983,154.07598690336994,171.8713347660424
27,1,3,135.25122312370038,154.0732345109056,171.8682765521931
28,1,4,135.24878538362125,154.07049205331654,171.86522937709415
29,1,5,135.24635647579652,154.06775953201372,171.86219324231325
30,1,6,135.24393640147582,154.0650369484029,171.85916814941237
31,1,7,144.4427149960957,164.6431909876856,183.69364621444245
32,1,8,166.65394988018835,190.1849601333492,212.26887721726249
33,1,9,188.8651936015064,215.7267392208915,240.8441192666143
