hour,month,hour_of_day,Anna,Bardeen,Cary
0,1,0,130.9993753257366,146.13964743704187,161.49116333395045
1,1,1,130.99669960371526,146.1366372497679,161.4878186814238
2,1,2,130.9940326784944,146.1336369588944,161.4844850248977
3,1,3,130.99137455144603,146.13064656596498,161.48116236608723
4,1,4,130.98872522393765,146.12766607251808,161.47785070670176
5,1,5,130.98608469733227,146.12469548008698,161.47455004844502
6,1,6,130.9834529729883,146.12173479020004,161.47126039301503
7,1,7,139.66427778718167,155.73972702444513,172.0517312678063
8,1,8,160.62536096122454,178.96379726607006,197.59989526881117
9,1,9,181.58645294157697,202.18787741479332,223.14807027770297
10,1,10,190.26730417469457,211.80589937032815,233.7285741761495
11,1,11,190.2647164818758,211.80298821590705,233.72533956012603
12,1,12,190.262137599374,211.8000869730925,233.7221159569988
13,1,13,190.25956752851587,211.7971956433771,233.71890336842617
14,1,14,190.2570062706237,211.79431422824837,233.71570179606084
15,1,15,190.254453827015,211.7914427291886,233.71251124155003
16,1,16,190.25191019900305,211.78858114767513,233.70933170653504
17,1,17,190.2493753878963,211.78572948518007,233.70616319265167
18,1,18,190.24684939499895,211.78288774317056,233.70300570152995
19,1,19,171.79721976177913,191.3413289014667,211.21574650591575
20,1,20,153.3475989493632,170.8997799831672,188.72849833630647
21,1,21,153.34509941887282,170.89696801136557,188.7253739231935
22,1,22,153.3426087117627,170.89416596586665,188.7222605393058
23,1,23,142.14009426441646,158.48214672782944,175.0680897437117
24,1,0,130.9375886430087,146.070137418973,161.4139299805406
25,1,1,130.9351244137092,146.06736516101105,161.4108496939162
26,1,2,130.93266901288814,146.06460283508733,161.40778044288987
27,1,3,130.93022244180867,146.06185044262298,161.40472222904054
28,1,4,130.92778470172954,146.05910798503393,161.40167505394163
29,1,5,130.92535579390483,146.05637546373111,161.3986389191607
30,1,6,130.9229357195841,146.0536528801203,161.39561382625982
31,1,7,139.6039722149345,155.67188325566704,171.97634930249728
32,1,8,160.56526710115912,178.89619167349645,197.52477794372936
33,1,9,181.5265708246092,202.12051003320457,223.0732176314933
34,1,10,190.20763383163137,211.7387702343821,233.65398624732052
35,1,11,190.2052579434152,211.73609736013884,233.65101638705028
36,1,12,190.202890896105,211.73343443191487,233.64805757791257
37,1,13,190.20053269091855,211.73078145108013,233.6451098214295
38,1,14,190.19818332906905,211.72813841899944,233.6421731191176
39,1,15,190.19584281176515,211.72550533703256,233.63924747248777
40,1,16,190.19351114021097,211.72288220653408,233.636332883045
41,1,17,190.191188315606,211.72026902885352,233.6334293522888
42,1,18,190.18887433914531,211.71766580533523,233.63053688171297
43,1,19,171.73945675218803,191.27634551567672,211.1435427439269
44,1,20,153.29004801575135,170.83503518285391,188.65655966929165
45,1,21,153.28776059084788,170.8324618298375,188.65370038816235
46,1,22,153.28548201882316,170.8298984363097,188.65085217313143
47,1,23,142.08317973595177,158.4181178833067,174.99694658313084
48,1,0,130.8808863082991,146.00634729242466,161.34305206215356
49,1,1,130.87863430192573,146.00381378525464,161.34023705418684
50,1,2,130.87639115309267,146.00129024281745,161.33743311814555
51,1,3,130.87415686295398,145.99877666641143,161.33464025547218
52,1,4,130.87193143265907,145.99627305732966,161.33185846760352
53,1,5,130.86971486335284,145.99377941686015,161.32908775597076
54,1,6,130.86750715617566,145.9912957462858,161.32632812199927
55,1,7,139.54875604718535,155.60976506694925,171.90732909281087
56,1,8,160.51026335747576,178.83431246185268,197.45602326412515
57,1,9,181.47177953328884,202.0588698304692,223.0047285173428
58,1,10,190.15305502086196,211.6773690722665,233.58576273385873
59,1,11,190.15089164127536,211.6749352702315,233.58305850937543
60,1,12,190.14873713056392,211.6725114456812,233.5803653709862
61,1,13,190.14659148983628,211.67009759986257,233.57768332007663
62,1,14,190.1444547201961,211.66769373401735,233.5750123580264
63,1,15,190.14232682274277,211.66529984938236,233.57235248620975
64,1,16,190.140207798571,211.6629159471891,233.569703705995
65,1,17,190.13809764877084,211.6605420286639,233.56706601874484
66,1,18,190.135996374428,211.65817809502823,233.56443942581623
67,1,19,171.6867915167921,191.21709712585636,211.07771119968203
68,1,20,153.237595536771,170.77602614400104,188.59099407056624
69,1,21,153.23552089526785,170.77369217230995,188.58840076868725
