hour,month,hour_of_day,Anna,Bardeen,Cary
0,1,0,133.7065558880595,154.33703730471336,170.24358861930057
1,1,1,133.70388016603818,154.33402711743938,170.2402439667739
2,1,2,133.7012132408173,154.3310268265659,170.23691031024782
3,1,3,133.69855511376895,154.3280364336365,170.2335876514374
4,1,4,133.6959057862606,154.3250559401896,170.23027599205193
5,1,5,133.69326525965516,154.3220853477585,170.22697533379517
6,1,6,133.69063353531118,154.31912465787153,170.2236856783652
7,1,7,142.69583259765332,164.91932776202117,181.85287174080432
8,1,8,164.44002448086138,190.51466480687992,209.93285817089543
9,1,9,186.18422517037905,216.11001175883695,238.0128556088735
10,1,10,195.18945065164536,226.71024458427635,249.6420746949679
11,1,11,195.18686295882657,226.70733342985525,249.63884007894444
12,1,12,195.18428407632476,226.7044321870407,249.6356164758172
13,1,13,195.18171400546663,226.7015408573253,249.63240388724455
14,1,14,195.1791527475744,226.69865944219657,249.62920231487925
15,1,15,195.17660030396576,226.6957879431368,249.62601176036844
16,1,16,195.17405667595375,226.69292636162336,249.62283222535345
17,1,17,195.17152186484705,226.69007469912827,249.61966371147008
18,1,18,195.1689958719497,226.68723295711877,249.6165062203484
19,1,19,176.03026573195675,204.15906578546216,224.9013569520996
20,1,20,156.89154441276773,181.6309085372099,200.18621870985572
21,1,21,156.88904488227735,181.62809656540827,200.1830942967428
22,1,22,156.8865541751672,181.62529451990935,200.17998091285503
23,1,23,145.26565727728018,167.94640593868655,185.1731625731614
24,1,0,133.6447692053316,154.2675272866445,170.16635526589073
25,1,1,133.6423049760321,154.26475502868254,170.16327497926633
26,1,2,133.63984957521103,154.26199270275885,170.16020572824
27,1,3,133.63740300413158,154.25924031029447,170.1571475143907
28,1,4,133.63496526405245,154.25649785270542,170.15410033929174
29,1,5,133.63253635622772,154.25376533140263,170.15106420451087
30,1,6,133.63011628190702,154.2510427477918,170.14803911160996
31,1,7,142.63552702540613,164.8514839932431,181.77748977549533
32,1,8,164.37993062079596,190.4470592143063,209.8577408458136
33,1,9,186.12434305341125,216.04264437724825,237.9380029626638
34,1,10,195.12978030858216,226.64311544833024,249.56748676613893
35,1,11,195.12740442036596,226.64044257408705,249.5645169058687
36,1,12,195.12503737305576,226.63777964586308,249.56155809673095
37,1,13,195.1226791678693,226.6351266650283,249.5586103402479
38,1,14,195.1203298060198,226.63248363294764,249.555673637936
39,1,15,195.11798928871593,226.62985055098076,249.55274799130615
40,1,16,195.11565761716173,226.62722742048228,249.5498334018634
41,1,17,195.11333479255677,226.62461424280173,249.5469298711072
42,1,18,195.11102081609607,226.62201101928343,249.54403740053135
43,1,19,175.97250272236568,204.09408239967215,224.82915319011073
44,1,20,156.83399347915588,181.5661637368966,200.11428004284093
45,1,21,156.83170605425244,181.5635903838802,200.11142076171163
46,1,22,156.8294274822277,181.5610269903524,200.1085725466807
47,1,23,145.20874274881552,167.8823770941638,185.10201941258055
48,1,0,133.588066870622,154.20373716009618,170.0954773475037
49,1,1,133.58581486424865,154.20120365292615,170.092662339537
50,1,2,133.5835717154156,154.19868011048897,170.08985840349567
51,1,3,133.5813374252769,154.19616653408292,170.08706554082232
52,1,4,133.579111994982,154.19366292500115,170.0842837529537
53,1,5,133.57689542567576,154.19116928453167,170.0815130413209
54,1,6,133.57468771849858,154.18868561395732,170.0787534073494
55,1,7,142.58031085765697,164.7893658045253,181.70846956580888
56,1,8,164.3249268771126,190.38518000266257,209.78898616620944
57,1,9,186.0695517620909,215.9810041745128,237.86951384851335
58,1,10,195.0752014978127,226.58171428621463,249.4992632526771
59,1,11,195.0730381182261,226.5792804841797,249.49655902819387
60,1,12,195.0708836075147,226.5768566596294,249.49386588980465
61,1,13,195.068737966787,226.57444281381075,249.49118383889504
62,1,14,195.0666011971469,226.5720389479656,249.4885128768448
63,1,15,195.06447329969353,226.56964506333057,249.48585300502816
64,1,16,195.06235427552173,226.5672611611373,249.48320422481345
65,1,17,195.0602441257216,226.56488724261217,249.48056653756325
66,1,18,195.05814285137873,226.56252330897644,249.47793994463467
67,1,19,175.91983748696978,204.03483400985175,224.76332164586583
68,1,20,156.78154100017554,181.5071546980437,200.04871444411552
69,1,21,156.77946635867238,181.50482072635265,200.04612114223653
70,1,22,156.77740059692314,181.50249674438476,200.04353894005
71,1,23,145.1569287005522,167.82408628986758,185.03725185225144
72,1,0,133.53646568605618,154.14568582745963,170.03097586679644
73,1,1,133.53442656992704,154.14339182181436,170.028426971635
74,1,2,133.53239633777545,154.1411078106438,170.0258891814455
75,1,3,133.5303749906459,154.13883379512305,170.02336249753353
76,1,4,133.5283625295782,154.13656977642194,170.02084692119894
77,1,5,133.5263589556078,154.13431575570522,170.01834245373595
78,1,6,133.5243642697654,154.13207173413252,170.015849096433
79,1,7,142.530200456148,164.73299160282772,181.64583156392268
80,1,8,164.27502954860762,190.32904550809445,209.7266145055782
81,1,9,186.0198675322601,215.92510941595316,237.8074085612249
82,1,10,195.02573039221664,226.52605929241903,249.43742437068204
83,1,11,195.02378016231555,226.52386528378037,249.43498658330572
84,1,12,195.02183882663107,226.5216812811353,249.4325599137001
85,1,13,195.0199063861618,226.51950728560735,249.4301443631135
86,1,14,195.01798284190195,226.51734329831504,249.42773993278868
87,1,15,195.01606819484113,226.5151893203716,249.42534662396264
88,1,16,195.0141624459643,226.51304535288517,249.4229644378666
89,1,17,195.0122655962519,226.51091139695873,249.42059337572613
90,1,18,195.0103776466798,226.50878745369013,249.418233438761
91,1,19,175.8722856316149,203.98133817257752,224.70388182667227
92,1,20,156.73420251862825,181.453898906303,199.98954134218135
93,1,21,156.7323412752864,181.45180500754344,199.98721478800408
94,1,22,156.73048893594245,181.44972112578148,199.98489936382413
95,1,23,145.110230486111,167.7715507986212,184.9788790841999
96,1,0,133.48998094217876,154.09339049059753,169.97286993694968
97,1,1,133.48815532052797,154.0913366662404,169.97058790988615
98,1,2,133.48633860665944,154.0892928631383,169.96831701755048
99,1,3,133.48453080150776,154.08725908234263,169.9660572611109
100,1,4,133.482731906003,154.08523532489983,169.96380864172994
101,1,5,133.48094192107064,154.08322159185087,169.9615711605645
102,1,6,133.4791608476315,154.08121788423188,169.95934481876557
103,1,7,142.4852106696727,164.68237809304298,181.58959433082856
104,1,8,164.23025342093638,190.27867236446428,209.67064434598916
105,1,9,185.9753050864284,215.87497666439253,237.75170550393528
106,1,10,194.98138165115012,226.4761669587192,249.3819884443489
107,1,11,194.9796451488299,226.47421339360895,249.37981781644865
108,1,12,194.97791756343187,226.4722698600362,249.3776583347011
109,1,13,194.97619889584485,226.4703363590008,249.37551000021728
110,1,14,194.97448914695295,226.46841289149745,249.37337281410245
111,1,15,194.9727883176359,226.4664994585157,249.3712467774561
112,1,16,194.97109640876857,226.46459606103997,249.36913189137192
113,1,17,194.96941342122145,226.46270270004945,249.36702815693803
114,1,18,194.96773935586032,226.4608193765182,249.36493557523664
115,1,19,175.82986124694207,203.9336107398206,224.65085134583123
116,1,20,156.69199206192772,181.4064121425149,199.93677827130577
117,1,21,156.69034476827375,181.4045589371542,199.93471915423828
118,1,22,156.68870640022325,181.40271577309736,199.93267119417513
119,1,23,145.06866194318064,167.72478618782455,184.92691840553692
120,1,0,133.4486264134226,154.04686664574683,169.92117677600444
121,1,1,133.44701482722127,154.04505361127036,169.91916229325278
122,1,2,133.4454121699673,154.04325062185964,169.91715897168532
123,1,3,133.44381844248522,154.0414576784423,169.9151668123327
124,1,4,133.4422336455949,154.0396747819407,169.91318581621982
125,1,5,133.44065778011174,154.0379019332721,169.91121598436587
126,1,6,133.43909084684637,154.03613913334857,169.90925731778415
127,1,7,142.44535482967575,164.6375402730464,181.53977453083235
128,1,8,164.1906117622318,190.23407549842165,209.62109227260845
129,1,9,185.9358776294103,215.83062077524716,237.7024211826626
130,1,10,194.9421684161023,226.4320520692904,249.33297190053912
131,1,11,194.940646155926,226.4303395265921,249.3310690753187
132,1,12,194.9391328327353,226.4286370380026,249.32917742133037
133,1,13,194.93762844730884,226.42694460439776,249.32729693954727
134,1,14,194.93613300042043,226.42526222664833,249.3254276309368
135,1,15,194.9346464928395,226.4235899056198,249.32356949646064
136,1,16,194.9331689253308,226.4219276421725,249.32172253707475
137,1,17,194.93170029865445,226.4202754371616,249.31988675372932
138,1,18,194.930240613566,226.41863329143712,249.3180621473688
139,1,19,175.79257690421204,203.8916658542493,224.6042459174187
140,1,20,156.6549221379433,181.3647084780324,199.8904408663252
141,1,21,156.65348928210588,181.36309651521532,199.8886497965284
142,1,22,156.65206537083256,181.36149461503288,199.8868699074368
143,1,23,145.0322353894175,167.68380631484104,184.88138521333303
144,1,0,133.41241435402708,154.00612807892688,169.87591170176
145,1,1,133.41101728082293,154.00455637157222,169.87416536025486
146,1,2,133.4096291550855,154.0029947301176,169.87243020308304
147,1,3,133.40824997752884,154.00144315536636,169.8707062311372
148,1,4,133.40687974886254,153.99990164811675,169.86899344530434
149,1,5,133.40551846979147,153.99837020916183,169.86729184646555
150,1,6,133.40416614101602,153.99684883928944,169.86560143549622
151,1,7,142.4106447463027,164.5984914292517,181.49638692661603
152,1,8,164.15611631917295,190.1952681249805,209.57797296878488
153,1,9,185.90159684441215,215.79205489212427,237.65957020141497
154,1,10,194.90810230680097,226.39372769632644,249.2903892639125
155,1,11,194.90679473984716,226.3922566835034,249.2887548052202
156,1,12,194.90549612729416,226.39079574438128,249.28713153952896
157,1,13,194.90420646981005,226.38934487971164,249.2855194676738
158,1,14,194.9029257680583,226.38790409024097,249.28391859048415
159,1,15,194.90165402269787,226.38647337671048,249.28232890878357
160,1,16,194.9003912343829,226.38505273985612,249.2807504233899
161,1,17,194.89913740376315,226.38364218040888,249.27918313511515
162,1,18,194.89789253148356,226.3822416990944,249.27762704476572
163,1,19,175.76044365158026,203.85551594503855,224.56407935162895
164,1,20,156.6230037312934,181.3288002705513,199.85054285801283
165,1,21,156.62178573785866,181.32743002793725,199.8490203662194
166,1,22,156.62057670529822,181.3260698663067,199.84750907551887
167,1,23,145.00096161879569,167.64862332289147,184.84229300005575
168,1,0,133.38135549440688,153.97118686185414,169.83708812723478
169,1,1,133.3801733481829,153.96985694735218,169.8356104444548
170,1,2,133.37900016529355,153.96853711660168,169.83414396584314
171,1,3,133.37783594634243,153.96722737028165,169.83268869215422
172,1,4,133.3766806919284,153.9659277090659,169.83124462413673
173,1,5,133.37553440264588,153.96463813362303,169.82981176253355
174,1,6,133.37439707908453,153.96335864461656,169.82839010808186
175,1,7,142.3810907049003,164.56524313267403,181.45944437486304
176,1,8,164.12677731350405,190.16226174360293,209.5412992116987
177,1,9,185.87247288957047,215.75929044292735,237.62316525786284
178,1,10,194.8791934177696,226.36120519616617,249.25425315262325
179,1,11,194.87810093149855,226.3599761491112,249.2528875447844
180,1,12,194.87701741439017,226.3587571923643,249.25153314839892
181,1,13,194.87594286700175,226.35754832655235,249.25018996416347
182,1,14,194.87487728988629,226.35634955229744,249.2488579927691
183,1,15,194.87382068359187,226.3551608702162,249.2475372349011
184,1,16,194.8727730486621,226.35398228092023,249.24622769123891
185,1,17,194.871734385636,226.35281378501583,249.24492936245625
186,1,18,194.8707046950478,226.35165538310412,249.24364224922095
187,1,19,175.7334710108229,203.82517172418656,224.5303635506823
188,1,20,156.59624630009083,181.29869816044845,199.8170960690097
189,1,21,156.59524352997653,181.2975700440698,199.81584260636672
