hour,month,hour_of_day,Anna,Bardeen,Cary
0,1,0,139.23609542787676,154.938957943677,170.15241165608546
1,1,1,139.23341970585545,154.93594775640298,170.1490670035588
2,1,2,139.23075278063456,154.9329474655295,170.14573334703272
3,1,3,139.2280946535862,154.9299570726001,170.1424106882223
4,1,4,139.22544532607782,154.92697657915318,170.13909902883682
5,1,5,139.22280479947244,154.9240059867221,170.13579837058006
6,1,6,139.22017307512846,154.92104529683513,170.1325087151501
7,1,7,148.8879213060778,165.59337050374597,181.75076995812833
8,1,8,172.23164837787658,191.36282570723773,209.80438154091055
9,1,9,195.57538425598491,217.13229081782777,237.8580041315797
10,1,10,205.24315890585856,227.8046457460283,249.4762983982132
11,1,11,205.24057121303977,227.8017345916072,249.4730637821897
12,1,12,205.2379923305379,227.7988333487927,249.4698401790625
13,1,13,205.2354222596798,227.7959420190773,249.4666275904898
14,1,14,205.2328610017876,227.79306060394856,249.46342601812455
15,1,15,205.23030855817893,227.7901891048888,249.46023546361369
16,1,16,205.22776493016693,227.78732752337532,249.45705592859872
17,1,17,205.22523011906023,227.78447586088024,249.45388741471533
18,1,18,205.22270412616288,227.78163411887076,249.45072992359368
19,1,19,184.6764548305801,205.10025078456889,224.75878933689057
20,1,20,164.1302143558012,182.41887737367136,200.06685977619236
21,1,21,164.12771482531085,182.4160654018697,200.0637353630794
22,1,22,164.12522411820066,182.41326335637075,200.0606219791917
23,1,23,151.64976201870556,168.6413506763991,185.06789462472216
24,1,0,139.17430874514886,154.8694479256081,170.07517830267562
25,1,1,139.17184451584936,154.86667566764615,170.07209801605123
26,1,2,139.1693891150283,154.86391334172245,170.06902876502488
27,1,3,139.16694254394884,154.86116094925808,170.06597055117558
28,1,4,139.1645048038697,154.85841849166906,170.06292337607664
29,1,5,139.162075896045,154.85568597036624,170.05988724129577
30,1,6,139.15965582172427,154.85296338675542,170.05686214839486
31,1,7,148.8276157338306,165.5255267349679,181.67538799281937
32,1,8,172.17155451781116,191.29522011466412,209.72926421582875
33,1,9,195.51550213901712,217.06492343623896,237.7831514853699
34,1,10,205.18348856279533,227.73751661008225,249.40171046938417
35,1,11,205.1811126745791,227.73484373583904,249.39874060911396
36,1,12,205.17874562726897,227.73218080761507,249.39578179997625
37,1,13,205.17638742208248,227.72952782678033,249.39283404349317
38,1,14,205.174038060233,227.72688479469963,249.38989734118127
39,1,15,205.1716975429291,227.72425171273275,249.38697169455145
40,1,16,205.1693658713749,227.72162858223427,249.38405710510867
41,1,17,205.16704304676995,227.71901540455372,249.38115357435248
42,1,18,205.16472907030925,227.71641218103545,249.3782611037766
43,1,19,184.618691820989,205.0352673987789,224.6865855749017
44,1,20,164.07266342218935,182.354132573358,199.9949211091775
45,1,21,164.0703759972859,182.35155922034164,199.99206182804824
46,1,22,164.06809742526116,182.34899582681385,199.9892136130173
47,1,23,151.59284749024087,168.5773218318763,184.99675146414128
48,1,0,139.1176064104393,154.8056577990598,170.0043003842886
49,1,1,139.1153544040659,154.80312429188976,170.0014853763219
50,1,2,139.11311125523284,154.80060074945257,169.99868144028056
51,1,3,139.11087696509415,154.79808717304655,169.99588857760722
52,1,4,139.10865153479924,154.79558356396478,169.9931067897386
53,1,5,139.106434965493,154.79308992349527,169.9903360781058
54,1,6,139.10422725831583,154.79060625292092,169.9875764441343
55,1,7,148.77239956608145,165.4634085462501,181.6063677831329
56,1,8,172.1165507741278,191.23334090302035,209.66050953622457
57,1,9,195.4607108476968,217.0032832335036,237.71466237121948
58,1,10,205.1289097520259,227.67611544796665,249.3334869559224
59,1,11,205.12674637243927,227.67368164593168,249.33078273143911
60,1,12,205.12459186172788,227.67125782138135,249.3280895930499
61,1,13,205.1224462210002,227.6688439755627,249.32540754214028
62,1,14,205.12030945136007,227.66644010971757,249.32273658009012
63,1,15,205.1181815539067,227.66404622508256,249.32007670827343
64,1,16,205.1160625297349,227.6616623228893,249.3174279280587
65,1,17,205.1139523799348,227.65928840436413,249.31479024080852
66,1,18,205.1118511055919,227.65692447072843,249.3121636478799
67,1,19,184.56602658559308,204.9760190089585,224.62075403065683
68,1,20,164.020210943209,182.2951235345051,199.92935551045213
69,1,21,164.01813630170585,182.29278956281405,199.9267622085731
70,1,22,164.01607053995662,182.2904655808462,199.92418000638665
71,1,23,151.54103344197756,168.5190310275801,184.93198390381215
72,1,0,139.06600522587345,154.74760646642324,169.93979890358133
73,1,1,139.06396610974429,154.74531246077794,169.93725000841988
74,1,2,139.0619358775927,154.74302844960744,169.9347122182304
75,1,3,139.05991453046312,154.74075443408665,169.93218553431842
76,1,4,139.05790206939545,154.7384904153855,169.92966995798383
77,1,5,139.05589849542503,154.73623639466882,169.92716549052085
78,1,6,139.05390380958266,154.73399237309613,169.92467213321788
79,1,7,148.72228916457252,165.40703434455253,181.54372978124672
80,1,8,172.06665344562282,191.17720640845224,209.59813787559335
81,1,9,195.411026617866,216.94738847494395,237.65255708393096
82,1,10,205.07943864642985,227.62046045417105,249.27164807392728
83,1,11,205.07748841652875,227.61826644553236,249.269210286551
84,1,12,205.07554708084425,227.6160824428873,249.26678361694536
85,1,13,205.07361464037496,227.61390844735936,249.26436806635877
86,1,14,205.07169109611513,227.61174446006703,249.26196363603395
87,1,15,205.0697764490543,227.6095904821236,249.2595703272079
88,1,16,205.06787070017748,227.60744651463716,249.25718814111187
89,1,17,205.06597385046507,227.60531255871072,249.2548170789714
90,1,18,205.064085900893,227.60318861544212,249.25245714200628
91,1,19,184.5184747302382,204.92252317168425,224.56131421146324
92,1,20,163.97287246166172,182.24186774276444,199.870182408518
93,1,21,163.97101121831986,182.23977384400484,199.8678558543407
94,1,22,163.96915887897592,182.2376899622429,199.86554043016076
95,1,23,151.49433522753634,168.46649553633372,184.87361113576063
96,1,0,139.01952048199604,154.69531112956116,169.88169297373457
97,1,1,139.01769486034522,154.693257305204,169.87941094667104
98,1,2,139.0158781464767,154.6912135021019,169.87714005433537
99,1,3,139.014070341325,154.6891797213063,169.8748802978958
100,1,4,139.01227144582026,154.6871559638634,169.87263167851484
101,1,5,139.0104814608879,154.6851422308145,169.87039419734938
102,1,6,139.00870038744876,154.68313852319545,169.86816785555047
103,1,7,148.6772993780972,165.3564208347678,181.4874925481526
104,1,8,172.02187731795158,191.1268332648221,209.5421677160043
105,1,9,195.36646417203428,216.89725572338332,237.59685402664135
106,1,10,205.0350899053633,227.5705681204712,249.21621214759415
107,1,11,205.0333534030431,227.56861455536097,249.21404151969384
108,1,12,205.03162581764505,227.56667102178815,249.2118820379463
109,1,13,205.029907150058,227.56473752075277,249.20973370346255
110,1,14,205.02819740116615,227.56281405324944,249.20759651734772
111,1,15,205.0264965718491,227.5609006202677,249.20547048070136
112,1,16,205.02480466298175,227.55899722279196,249.2033555946172
113,1,17,205.0231216754346,227.55710386180144,249.20125186018328
114,1,18,205.0214476100735,227.5552205382702,249.19915927848191
115,1,19,184.4760503455654,204.87479573892733,224.5082837306222
116,1,20,163.9306620049612,182.19438097897637,199.81741933764235
117,1,21,163.92901471130725,182.19252777361564,199.8153602205749
118,1,22,163.9273763432567,182.1906846095588,199.81331226051176
119,1,23,151.452766684606,168.41973092553707,184.8216504570977
120,1,0,138.97816595323985,154.6487872847105,169.82999981278934
121,1,1,138.97655436703852,154.64697425023394,169.82798533003768
122,1,2,138.97495170978453,154.64517126082325,169.82598200847022
123,1,3,138.97335798230247,154.6433783174059,169.8239898491176
124,1,4,138.97177318541216,154.6415954209043,169.82200885300472
125,1,5,138.970197319929,154.63982257223574,169.82003902115076
126,1,6,138.96863038666362,154.6380597723122,169.81808035456905
127,1,7,148.63744353810023,165.3115830147712,181.4376727481564
128,1,8,171.982235659247,191.08223639877943,209.4926156426236
129,1,9,195.3270367150162,216.85289983423797,237.54756970536872
130,1,10,204.99587667031548,227.5264532310424,249.16719560378436
131,1,11,204.9943544101392,227.52474068834408,249.165292778564
132,1,12,204.9928410869485,227.52303819975455,249.16340112457567
133,1,13,204.991336701522,227.52134576614975,249.16152064279257
134,1,14,204.98984125463363,227.51966338840032,249.1596513341821
135,1,15,204.98835474705268,227.51799106737175,249.1577931997059
136,1,16,204.986877179544,227.5163288039245,249.15594624032
137,1,17,204.98540855286765,227.5146765989136,249.1541104569746
138,1,18,204.9839488677792,227.5130344531891,249.15228585061405
139,1,19,184.43876600283537,204.83285085335604,224.4616783022097
140,1,20,163.89359208097676,182.15267731449384,199.7710819326618
141,1,21,163.89215922513935,182.1510653516768,199.76929086286503
142,1,22,163.89073531386603,182.14946345149428,199.7675109737734
143,1,23,151.41634013084288,168.37875105255358,184.7761172648938
144,1,0,138.9419538938443,154.60804871789048,169.7847347385449
145,1,1,138.94055682064018,154.60647701053583,169.78298839703976
146,1,2,138.93916869490272,154.6049153690812,169.78125323986794
147,1,3,138.93778951734606,154.60336379432994,169.7795292679221
148,1,4,138.93641928867976,154.60182228708038,169.77781648208924
149,1,5,138.93505800960872,154.60029084812544,169.77611488325044
150,1,6,138.93370568083327,154.59876947825308,169.7744244722811
151,1,7,148.60273345472717,165.2725341709765,181.39428514394004
152,1,8,171.94774021618815,191.04342902533824,209.44949633880003
153,1,9,195.29275593001807,216.81433395111503,237.5047187241211
154,1,10,204.96181056101415,227.48812885807845,249.12461296715776
155,1,11,204.9605029940603,227.4866578452554,249.12297850846545
156,1,12,204.95920438150733,227.48519690613327,249.1213552427742
157,1,13,204.95791472402323,227.48374604146363,249.1197431709191
158,1,14,204.95663402227152,227.48230525199295,249.11814229372945
159,1,15,204.95536227691105,227.48087453846244,249.11655261202884
160,1,16,204.95409948859609,227.4794539016081,249.11497412663516
161,1,17,204.95284565797633,227.47804334216084,249.11340683836045
162,1,18,204.9516007856967,227.47664286084637,249.11185074801097
