Year,Month,Day,Period,Area 1,Area 2,Area 3
2020,1,1,1,55,55,55
2020,1,1,2,50,50,50
2020,1,1,3,55,55,55
2020,1,1,4,57,57,57
2020,1,1,5,59,59,59
2020,1,1,6,62,62,62
2020,1,1,7,68,68,68
2020,1,1,8,72,72,72
2020,1,1,9,72,72,72
2020,1,1,10,70,70,70
2020,1,1,11,61,61,61
2020,1,1,12,60,60,60
2020,1,1,13,58,58,58
2020,1,1,14,59,59,59
2020,1,1,15,49,49,49
2020,1,1,16,50,50,50
2020,1,1,17,44,44,44
2020,1,1,18,67,67,67
2020,1,1,19,68,68,68
2020,1,1,20,70,70,70
2020,1,1,21,69,69,69
2020,1,1,22,68,68,68
2020,1,1,23,66,66,66
2020,1,1,24,65,65,65
2020,1,2,1,64,64,64
2020,1,2,2,64,64,64
2020,1,2,3,64,64,64
2020,1,2,4,64,64,64
2020,1,2,5,64,64,64
2020,1,2,6,66,66,66
2020,1,2,7,67,67,67
2020,1,2,8,71,71,71
2020,1,2,9,72,72,72
2020,1,2,10,72,72,72
2020,1,2,11,73,73,73
2020,1,2,12,77,77,77
2020,1,2,13,77,77,77
2020,1,2,14,77,77,77
2020,1,2,15,74,74,74
2020,1,2,16,73,73,73
2020,1,2,17,69,69,69
2020,1,2,18,71,71,71
2020,1,2,19,71,71,71
2020,1,2,20,70,70,70
2020,1,2,21,69,69,69
2020,1,2,22,68,68,68
2020,1,2,23,65,65,65
2020,1,2,24,64,64,64
2020,1,3,1,62,62,62
2020,1,3,2,54,54,54
2020,1,3,3,48,48,48
2020,1,3,4,48,48,48
2020,1,3,5,52,52,52
2020,1,3,6,54,54,54
2020,1,3,7,54,54,54
2020,1,3,8,59,59,59
2020,1,3,9,65,65,65
2020,1,3,10,68,68,68
2020,1,3,11,71,71,71
2020,1,3,12,71,71,71
2020,1,3,13,77,77,77
2020,1,3,14,76,76,76
2020,1,3,15,74,74,74
2020,1,3,16,74,74,74
2020,1,3,17,68,68,68
2020,1,3,18,62,62,62
2020,1,3,19,63,63,63
2020,1,3,20,66,66,66
2020,1,3,21,68,68,68
2020,1,3,22,67,67,67
2020,1,3,23,66,66,66
2020,1,3,24,64,64,64
2020,1,4,1,53,53,53
2020,1,4,2,43,43,43
