Year,Month,Day,Period,Area 1,Area 2,Area 3
2020,1,1,1,73,73,73
2020,1,1,2,60,60,60
2020,1,1,3,74,74,74
2020,1,1,4,79,79,79
2020,1,1,5,83,83,83
2020,1,1,6,88,88,88
2020,1,1,7,96,96,96
2020,1,1,8,93,93,93
2020,1,1,9,93,93,93
2020,1,1,10,89,89,89
2020,1,1,11,66,66,66
2020,1,1,12,52,52,52
2020,1,1,13,48,48,48
2020,1,1,14,50,50,50
2020,1,1,15,43,43,43
2020,1,1,16,47,47,47
2020,1,1,17,27,27,27
2020,1,1,18,85,85,85
2020,1,1,19,88,88,88
2020,1,1,20,93,93,93
2020,1,1,21,92,92,92
2020,1,1,22,92,92,92
2020,1,1,23,94,94,94
2020,1,1,24,92,92,92
2020,1,2,1,92,92,92
2020,1,2,2,92,92,92
2020,1,2,3,91,91,91
2020,1,2,4,91,91,91
2020,1,2,5,91,91,91
2020,1,2,6,92,92,92
2020,1,2,7,92,92,92
2020,1,2,8,95,95,95
2020,1,2,9,94,94,94
2020,1,2,10,94,94,94
2020,1,2,11,94,94,94
2020,1,2,12,99,99,99
2020,1,2,13,99,99,99
2020,1,2,14,98,98,98
2020,1,2,15,99,99,99
2020,1,2,16,102,102,102
2020,1,2,17,96,96,96
2020,1,2,18,94,94,94
2020,1,2,19,94,94,94
2020,1,2,20,93,93,93
2020,1,2,21,92,92,92
2020,1,2,22,95,95,95
2020,1,2,23,96,96,96
2020,1,2,24,95,95,95
2020,1,3,1,92,92,92
2020,1,3,2,73,73,73
2020,1,3,3,56,56,56
2020,1,3,4,56,56,56
2020,1,3,5,65,65,65
2020,1,3,6,67,67,67
2020,1,3,7,61,61,61
2020,1,3,8,65,65,65
2020,1,3,9,77,77,77
2020,1,3,10,87,87,87
2020,1,3,11,93,93,93
2020,1,3,12,85,85,85
2020,1,3,13,102,102,102
2020,1,3,14,101,101,101
2020,1,3,15,103,103,103
2020,1,3,16,102,102,102
2020,1,3,17,91,91,91
2020,1,3,18,73,73,73
2020,1,3,19,76,76,76
2020,1,3,20,87,87,87
2020,1,3,21,92,92,92
2020,1,3,22,91,91,91
2020,1,3,23,91,91,91
2020,1,3,24,93,93,93
2020,1,4,1,69,69,69
2020,1,4,2,45,45,45
2020,1,4,3,28,28,28
2020,1,4,4,36,36,36
2020,1,4,5,51,51,51
2020,1,4,6,48,48,48
2020,1,4,7,34,34,34
2020,1,4,8,44,44,44
2020,1,4,9,38,38,38
2020,1,4,10,34,34,34
2020,1,4,11,33,33,33
2020,1,4,12,60,60,60
2020,1,4,13,82,82,82
2020,1,4,14,95,95,95
2020,1,4,15,98,98,98
2020,1,4,16,101,101,101
2020,1,4,17,88,88,88
2020,1,4,18,93,93,93
2020,1,4,19,92,92,92
2020,1,4,20,88,88,88
2020,1,4,21,61,61,61
2020,1,4,22,56,56,56
2020,1,4,23,56,56,56
2020,1,4,24,56,56,56
2020,1,5,1,56,56,56
2020,1,5,2,56,56,56
2020,1,5,3,56,56,56
2020,1,5,4,56,56,56
2020,1,5,5,56,56,56
2020,1,5,6,56,56,56
2020,1,5,7,56,56,56
2020,1,5,8,60,60,60
2020,1,5,9,68,68,68
2020,1,5,10,59,59,59
2020,1,5,11,76,76,76
2020,1,5,12,100,100,100
2020,1,5,13,99,99,99
2020,1,5,14,97,97,97
2020,1,5,15,98,98,98
2020,1,5,16,101,101,101
2020,1,5,17,93,93,93
2020,1,5,18,56,56,56
2020,1,5,19,58,58,58
2020,1,5,20,72,72,72
2020,1,5,21,89,89,89
2020,1,5,22,91,91,91
2020,1,5,23,93,93,93
2020,1,5,24,93,93,93
2020,1,6,1,88,88,88
2020,1,6,2,85,85,85
2020,1,6,3,83,83,83
2020,1,6,4,64,64,64
2020,1,6,5,65,65,65
2020,1,6,6,62,62,62
2020,1,6,7,66,66,66
2020,1,6,8,66,66,66
2020,1,6,9,58,58,58
2020,1,6,10,58,58,58
2020,1,6,11,58,58,58
2020,1,6,12,67,67,67
2020,1,6,13,74,74,74
2020,1,6,14,84,84,84
2020,1,6,15,89,89,89
2020,1,6,16,89,89,89
2020,1,6,17,75,75,75
2020,1,6,18,80,80,80
2020,1,6,19,82,82,82
2020,1,6,20,84,84,84
2020,1,6,21,81,81,81
2020,1,6,22,71,71,71
2020,1,6,23,74,74,74
2020,1,6,24,73,73,73
2020,1,7,1,61,61,61
2020,1,7,2,56,56,56
2020,1,7,3,56,56,56
2020,1,7,4,56,56,56
2020,1,7,5,56,56,56
2020,1,7,6,56,56,56
2020,1,7,7,56,56,56
2020,1,7,8,59,59,59
2020,1,7,9,58,58,58
2020,1,7,10,58,58,58
2020,1,7,11,58,58,58
2020,1,7,12,65,65,65
2020,1,7,13,65,65,65
2020,1,7,14,65,65,65
2020,1,7,15,66,66,66
2020,1,7,16,69,69,69
2020,1,7,17,56,56,56
2020,1,7,18,56,56,56
2020,1,7,19,56,56,56
2020,1,7,20,56,56,56
2020,1,7,21,56,56,56
2020,1,7,22,56,56,56
2020,1,7,23,56,56,56
2020,1,7,24,56,56,56
2020,1,8,1,90,90,90
2020,1,8,2,69,69,69
2020,1,8,3,68,68,68
2020,1,8,4,93,93,93
2020,1,8,5,92,92,92
2020,1,8,6,92,92,92
2020,1,8,7,91,91,91
2020,1,8,8,99,99,99
2020,1,8,9,60,60,60
2020,1,8,10,58,58,58
2020,1,8,11,58,58,58
2020,1,8,12,58,58,58
2020,1,8,13,65,65,65
2020,1,8,14,65,65,65
2020,1,8,15,66,66,66
2020,1,8,16,69,69,69
2020,1,8,17,56,56,56
2020,1,8,18,56,56,56
2020,1,8,19,56,56,56
2020,1,8,20,56,56,56
2020,1,8,21,56,56,56
2020,1,8,22,56,56,56
2020,1,8,23,56,56,56
