Year,Month,Day,Period,Area 1,Area 2,Area 3
2020,1,1,1,61,61,61
2020,1,1,2,46,46,46
2020,1,1,3,63,63,63
2020,1,1,4,69,69,69
2020,1,1,5,74,74,74
2020,1,1,6,80,80,80
2020,1,1,7,92,92,92
2020,1,1,8,97,97,97
2020,1,1,9,98,98,98
2020,1,1,10,92,92,92
2020,1,1,11,74,74,74
2020,1,1,12,47,47,47
2020,1,1,13,43,43,43
2020,1,1,14,45,45,45
2020,1,1,15,16,16,16
2020,1,1,16,27,27,27
2020,1,1,17,31,31,31
2020,1,1,18,81,81,81
2020,1,1,19,84,84,84
2020,1,1,20,90,90,90
2020,1,1,21,92,92,92
2020,1,1,22,93,93,93
2020,1,1,23,93,93,93
2020,1,1,24,93,93,93
2020,1,2,1,93,93,93
2020,1,2,2,93,93,93
2020,1,2,3,93,93,93
2020,1,2,4,93,93,93
2020,1,2,5,93,93,93
2020,1,2,6,93,93,93
2020,1,2,7,93,93,93
2020,1,2,8,97,97,97
2020,1,2,9,99,99,99
2020,1,2,10,99,99,99
2020,1,2,11,99,99,99
2020,1,2,12,94,94,94
2020,1,2,13,94,94,94
2020,1,2,14,94,94,94
2020,1,2,15,93,93,93
2020,1,2,16,93,93,93
2020,1,2,17,92,92,92
2020,1,2,18,93,93,93
2020,1,2,19,93,93,93
2020,1,2,20,93,93,93
2020,1,2,21,93,93,93
2020,1,2,22,92,92,92
2020,1,2,23,89,89,89
2020,1,2,24,89,89,89
2020,1,3,1,85,85,85
2020,1,3,2,62,62,62
2020,1,3,3,41,41,41
2020,1,3,4,41,41,41
2020,1,3,5,52,52,52
2020,1,3,6,54,54,54
2020,1,3,7,47,47,47
2020,1,3,8,55,55,55
2020,1,3,9,74,74,74
2020,1,3,10,86,86,86
2020,1,3,11,91,91,91
2020,1,3,12,70,70,70
2020,1,3,13,94,94,94
2020,1,3,14,90,90,90
2020,1,3,15,93,93,93
2020,1,3,16,93,93,93
2020,1,3,17,92,92,92
2020,1,3,18,71,71,71
2020,1,3,19,74,74,74
2020,1,3,20,84,84,84
2020,1,3,21,92,92,92
2020,1,3,22,93,93,93
2020,1,3,23,92,92,92
2020,1,3,24,91,91,91
2020,1,4,1,69,69,69
2020,1,4,2,48,48,48
2020,1,4,3,32,32,32
2020,1,4,4,40,40,40
2020,1,4,5,54,54,54
2020,1,4,6,51,51,51
2020,1,4,7,38,38,38
