Year,Month,Day,Period,Area 1,Area 2,Area 3
2020,1,1,1,29.551,33.08,37.489
2020,1,1,2,29.572,32.488,35.772
2020,1,1,3,30.048,32.394,34.974
2020,1,1,4,31.084,32.354,34.5
2020,1,1,5,34.194,32.973,34.919
2020,1,1,6,38.604,34.682,36.88
2020,1,1,7,40.413,36.997,41.046
2020,1,1,8,39.165,36.62,43.818
2020,1,1,9,36.975,36.122,46.983
2020,1,1,10,35.526,36.283,49.16
2020,1,1,11,34.596,35.435,50.662
2020,1,1,12,33.876,35.22,51.324
2020,1,1,13,33.231,35.247,50.946
2020,1,1,14,32.819,34.857,51.081
2020,1,1,15,32.628,34.722,50.526
2020,1,1,16,32.745,34.857,49.783
2020,1,1,17,35.114,35.812,50.797
2020,1,1,18,38.403,42.272,56.666
2020,1,1,19,37.98,42.851,55.801
2020,1,1,20,37.356,42.205,53.921
2020,1,1,21,36.14,41.142,51.473
2020,1,1,22,33.527,38.908,48.051
2020,1,1,23,30.936,36.324,43.954
2020,1,1,24,29.73,34.157,39.721
2020,1,2,1,29.128,32.919,37.083
2020,1,2,2,29.054,32.475,35.636
2020,1,2,3,29.339,32.246,34.608
2020,1,2,4,30.344,32.313,34.122
2020,1,2,5,32.935,32.919,34.351
2020,1,2,6,36.637,34.655,36.394
2020,1,2,7,38.223,37.091,40.383
2020,1,2,8,36.743,36.458,42.804
2020,1,2,9,35.241,36.122,46.063
2020,1,2,10,34.511,35.785,48.525
2020,1,2,11,33.855,35.557,50.594
2020,1,2,12,33.623,35.328,52.014
2020,1,2,13,33.379,34.924,52.623
2020,1,2,14,33.051,34.911,53.529
2020,1,2,15,32.977,34.588,53.488
2020,1,2,16,33.041,34.413,52.366
2020,1,2,17,34.892,36.472,52.055
2020,1,2,18,37.959,41.599,56.68
2020,1,2,19,37.684,42.07,55.828
2020,1,2,20,36.69,41.922,53.272
2020,1,2,21,35.283,40.765,50.865
2020,1,2,22,32.84,38.517,47.497
2020,1,2,23,30.28,36.203,43.156
2020,1,2,24,28.916,34.076,39.274
2020,1,3,1,28.461,32.986,36.596
2020,1,3,2,27.985,32.596,35.163
2020,1,3,3,28.229,32.3,34.446
2020,1,3,4,29.128,32.421,33.959
2020,1,3,5,31.486,33.067,33.946
2020,1,3,6,35.283,34.938,35.744
2020,1,3,7,36.954,37.495,39.558
2020,1,3,8,36.108,36.674,42.168
2020,1,3,9,34.945,36.445,46.361
2020,1,3,10,34.479,36.122,48.741
2020,1,3,11,34.173,35.785,51.243
2020,1,3,12,33.792,35.355,53.137
2020,1,3,13,33.506,35.086,53.678
2020,1,3,14,33.305,34.641,54.503
2020,1,3,15,33.083,34.493,54.503
2020,1,3,16,32.999,34.265,53.529
2020,1,3,17,34.247,32.555,52.487
2020,1,3,18,37.028,40.63,55.896
2020,1,3,19,36.193,40.819,54.097
2020,1,3,20,34.997,40.24,51.568
2020,1,3,21,34.194,39.258,48.687
2020,1,3,22,32.565,37.939,45.888
2020,1,3,23,30.439,36.351,42.412
2020,1,3,24,29.022,34.52,39.207
2020,1,4,1,28.429,33.296,36.448
2020,1,4,2,28.028,32.798,35.041
2020,1,4,3,28.25,32.609,33.905
2020,1,4,4,28.62,32.488,33.202
2020,1,4,5,29.963,32.851,33.08
2020,1,4,6,31.877,33.605,33.824
2020,1,4,7,33.57,34.466,34.96
2020,1,4,8,34.289,33.807,35.623
2020,1,4,9,34.109,34.143,38.152
2020,1,4,10,33.675,34.292,40.721
2020,1,4,11,33.178,33.942,42.331
2020,1,4,12,32.501,33.188,43.02
2020,1,4,13,31.835,33.538,42.98
2020,1,4,14,31.158,33.174,42.263
2020,1,4,15,31.042,33,41.533
2020,1,4,16,31.359,32.488,40.87
2020,1,4,17,33.4,34.493,41.384
2020,1,4,18,36.203,39.661,46.293
2020,1,4,19,35.452,39.715,47.632
2020,1,4,20,34.596,39.123,46.537
2020,1,4,21,33.369,38.235,45.198
2020,1,4,22,31.666,37.118,43.277
2020,1,4,23,29.889,35.732,40.627
2020,1,4,24,28.895,34.251,38.26
2020,1,5,1,28.429,33.201,36.028
2020,1,5,2,28.25,32.65,34.69
2020,1,5,3,28.398,32.179,34.027
2020,1,5,4,28.948,32.152,33.567
2020,1,5,5,29.995,32.38,33.445
2020,1,5,6,31.909,32.932,33.459
2020,1,5,7,33.749,33.511,34.04
2020,1,5,8,34.363,32.851,33.919
2020,1,5,9,33.845,33.282,35.393
2020,1,5,10,33.242,33.646,36.908
2020,1,5,11,32.248,33.646,38.111
2020,1,5,12,31.613,33.43,38.787
2020,1,5,13,30.947,33.269,39.071
2020,1,5,14,30.46,33.053,39.261
2020,1,5,15,30.471,32.798,39.274
2020,1,5,16,30.725,32.784,38.882
2020,1,5,17,33.157,34.655,39.707
2020,1,5,18,36.595,39.406,45.063
2020,1,5,19,36.499,39.971,46.902
2020,1,5,20,35.759,39.54,46.415
2020,1,5,21,34.204,38.221,44.981
2020,1,5,22,31.814,36.701,42.723
2020,1,5,23,29.625,34.803,39.666
